lambda,method,K,n_candidates,n_chosen,obj_linear,solver_status,solver_seconds,pop_w_mean_LT_t_before,pop_w_mean_LT_t_after,pop_w_mean_LT_f_before,pop_w_mean_LT_f_after,p10_LT_f_before,p10_LT_f_after,share_below_sphere_f_before,share_below_sphere_f_after,bottom_decile_mean_LT_f_before,bottom_decile_mean_LT_f_after
0.0,greedy,20,50,20,5.471328311839649,ok,,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.01873129442324614,0.8263888888888888,0.8125,0.011123136902383939,0.017165316233405625
0.0,ip,20,50,20,5.471328311839651,Optimal,0.025003910064697266,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.01873129442324614,0.8263888888888888,0.8125,0.011123136902383939,0.017165316233405625
0.25,greedy,20,50,20,8.99496494977014,ok,,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.017529020096181652,0.8263888888888888,0.8159722222222222,0.011123136902383939,0.017097410810133083
0.25,ip,20,50,20,8.994964949770141,Optimal,0.02135300636291504,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.017529020096181652,0.8263888888888888,0.8159722222222222,0.011123136902383939,0.017097410810133083
0.5,greedy,20,50,20,12.597785547159804,ok,,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.01649367080547975,0.8263888888888888,0.8159722222222222,0.011123136902383939,0.017050350889885716
0.5,ip,20,50,20,12.597785547159804,Optimal,0.02210831642150879,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.01649367080547975,0.8263888888888888,0.8159722222222222,0.011123136902383939,0.017050350889885716
0.75,greedy,20,50,20,16.213066007741137,ok,,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.01649367080547975,0.8263888888888888,0.8159722222222222,0.011123136902383939,0.017050350889885716
0.75,ip,20,50,20,16.213066007741137,Optimal,0.021007776260375977,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.01649367080547975,0.8263888888888888,0.8159722222222222,0.011123136902383939,0.017050350889885716
1.0,greedy,20,50,20,19.908986827957786,ok,,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.01242182232593129,0.8263888888888888,0.8229166666666666,0.011123136902383939,0.016365401368984556
1.0,ip,20,50,20,19.908986827957783,Optimal,0.021607160568237305,0.028099204146461082,0.02868460423284569,0.039322633403693616,0.03989293990701042,0.004761998340395871,0.01242182232593129,0.8263888888888888,0.8229166666666666,0.011123136902383939,0.016365401368984563
