lambda,method,rank,candidate_idx,x_merc,y_merc,coef
0.0,greedy,0,23,10262902.904825,2402338.405518,0.3270809945389146
0.0,greedy,1,22,10262952.904825,2402288.405518,0.2970797800507729
0.0,greedy,2,21,10262952.904825,2402238.405518,0.2552248984964052
0.0,greedy,3,20,10263002.904825,2402188.405518,0.18161320346534066
0.0,greedy,4,7,10263052.904825,2402238.405518,0.10510477448552483
0.0,greedy,5,19,10263602.904825,2402138.405518,0.055944786798794464
0.0,greedy,6,24,10263502.904825,2402588.405518,0.046359096576583804
0.0,greedy,7,4,10263552.904825,2402088.405518,0.041055930629053244
0.0,greedy,8,17,10263602.904825,2402088.405518,0.040335203665538895
0.0,greedy,9,26,10263602.904825,2402688.405518,0.03913657872783531
0.0,ip,0,4,10263552.904825,2402088.405518,0.041055930629053244
0.0,ip,1,7,10263052.904825,2402238.405518,0.10510477448552483
0.0,ip,2,17,10263602.904825,2402088.405518,0.040335203665538895
0.0,ip,3,19,10263602.904825,2402138.405518,0.055944786798794464
0.0,ip,4,20,10263002.904825,2402188.405518,0.18161320346534066
0.0,ip,5,21,10262952.904825,2402238.405518,0.2552248984964052
0.0,ip,6,22,10262952.904825,2402288.405518,0.2970797800507729
0.0,ip,7,23,10262902.904825,2402338.405518,0.3270809945389146
0.0,ip,8,24,10263502.904825,2402588.405518,0.046359096576583804
0.0,ip,9,26,10263602.904825,2402688.405518,0.03913657872783531
0.25,greedy,0,23,10262902.904825,2402338.405518,0.40885124317364324
0.25,greedy,1,22,10262952.904825,2402288.405518,0.37134972506346614
0.25,greedy,2,21,10262952.904825,2402238.405518,0.31903112312050647
0.25,greedy,3,20,10263002.904825,2402188.405518,0.22961989738964023
0.25,greedy,4,7,10263052.904825,2402238.405518,0.13138096810690605
0.25,greedy,5,19,10263602.904825,2402138.405518,0.06993098349849308
0.25,greedy,6,24,10263502.904825,2402588.405518,0.058978660979167596
0.25,greedy,7,33,10263252.904825,2402838.405518,0.053266860933053065
