lambda,method,rank,candidate_idx,x_merc,y_merc,coef
0.25,greedy,8,35,10263152.904825,2402888.405518,0.05182678835580506
0.25,greedy,9,4,10263552.904825,2402088.405518,0.051319913286316556
0.25,ip,0,4,10263552.904825,2402088.405518,0.051319913286316556
0.25,ip,1,7,10263052.904825,2402238.405518,0.13138096810690605
0.25,ip,2,19,10263602.904825,2402138.405518,0.06993098349849308
0.25,ip,3,20,10263002.904825,2402188.405518,0.22961989738964023
0.25,ip,4,21,10262952.904825,2402238.405518,0.31903112312050647
0.25,ip,5,22,10262952.904825,2402288.405518,0.37134972506346614
0.25,ip,6,23,10262902.904825,2402338.405518,0.40885124317364324
0.25,ip,7,24,10263502.904825,2402588.405518,0.058978660979167596
0.25,ip,8,33,10263252.904825,2402838.405518,0.053266860933053065
0.25,ip,9,35,10263152.904825,2402888.405518,0.05182678835580506
0.5,greedy,0,23,10262902.904825,2402338.405518,0.4906214918083719
0.5,greedy,1,22,10262952.904825,2402288.405518,0.44561967007615944
0.5,greedy,2,21,10262952.904825,2402238.405518,0.38283734774460776
0.5,greedy,3,20,10263002.904825,2402188.405518,0.27762659131393974
0.5,greedy,4,7,10263052.904825,2402238.405518,0.15765716172828728
0.5,greedy,5,19,10263602.904825,2402138.405518,0.0839171801981917
0.5,greedy,6,24,10263502.904825,2402588.405518,0.07159822538175138
0.5,greedy,7,33,10263252.904825,2402838.405518,0.0685002110261777
0.5,greedy,8,35,10263152.904825,2402888.405518,0.06670458170914147
0.5,greedy,9,10,10263502.904825,2402638.405518,0.0625035229429916
0.5,ip,0,7,10263052.904825,2402238.405518,0.15765716172828728
0.5,ip,1,10,10263502.904825,2402638.405518,0.0625035229429916
0.5,ip,2,19,10263602.904825,2402138.405518,0.0839171801981917
0.5,ip,3,20,10263002.904825,2402188.405518,0.27762659131393974
0.5,ip,4,21,10262952.904825,2402238.405518,0.38283734774460776
0.5,ip,5,22,10262952.904825,2402288.405518,0.44561967007615944
0.5,ip,6,23,10262902.904825,2402338.405518,0.4906214918083719
0.5,ip,7,24,10263502.904825,2402588.405518,0.07159822538175138
0.5,ip,8,33,10263252.904825,2402838.405518,0.0685002110261777
0.5,ip,9,35,10263152.904825,2402888.405518,0.06670458170914147
0.75,greedy,0,23,10262902.904825,2402338.405518,0.5723917404431005
0.75,greedy,1,22,10262952.904825,2402288.405518,0.5198896150888527
0.75,greedy,2,21,10262952.904825,2402238.405518,0.44664357236870905
0.75,greedy,3,20,10263002.904825,2402188.405518,0.3256332852382393
0.75,greedy,4,7,10263052.904825,2402238.405518,0.1839333553496685
0.75,greedy,5,19,10263602.904825,2402138.405518,0.0979033768978903
0.75,greedy,6,24,10263502.904825,2402588.405518,0.08421778978433517
0.75,greedy,7,33,10263252.904825,2402838.405518,0.08373356111930236
0.75,greedy,8,35,10263152.904825,2402888.405518,0.08158237506247787
0.75,greedy,9,34,10263102.904825,2402888.405518,0.07500215715486933
0.75,ip,0,7,10263052.904825,2402238.405518,0.1839333553496685
0.75,ip,1,19,10263602.904825,2402138.405518,0.0979033768978903
0.75,ip,2,20,10263002.904825,2402188.405518,0.3256332852382393
0.75,ip,3,21,10262952.904825,2402238.405518,0.44664357236870905
0.75,ip,4,22,10262952.904825,2402288.405518,0.5198896150888527
0.75,ip,5,23,10262902.904825,2402338.405518,0.5723917404431005
0.75,ip,6,24,10263502.904825,2402588.405518,0.08421778978433517
0.75,ip,7,33,10263252.904825,2402838.405518,0.08373356111930236
0.75,ip,8,34,10263102.904825,2402888.405518,0.07500215715486933
0.75,ip,9,35,10263152.904825,2402888.405518,0.08158237506247787
1.0,greedy,0,23,10262902.904825,2402338.405518,0.6541619890778292
1.0,greedy,1,22,10262952.904825,2402288.405518,0.5941595601015459
1.0,greedy,2,21,10262952.904825,2402238.405518,0.5104497969928103
1.0,greedy,3,20,10263002.904825,2402188.405518,0.3736399791625389
1.0,greedy,4,7,10263052.904825,2402238.405518,0.21020954897104974
1.0,greedy,5,19,10263602.904825,2402138.405518,0.11188957359758891
1.0,greedy,6,33,10263252.904825,2402838.405518,0.09896691121242701
1.0,greedy,7,24,10263502.904825,2402588.405518,0.09683735418691895
1.0,greedy,8,35,10263152.904825,2402888.405518,0.09646016841581428
1.0,greedy,9,34,10263102.904825,2402888.405518,0.08867348871865259
1.0,ip,0,7,10263052.904825,2402238.405518,0.21020954897104974
1.0,ip,1,19,10263602.904825,2402138.405518,0.11188957359758891
1.0,ip,2,20,10263002.904825,2402188.405518,0.3736399791625389
1.0,ip,3,21,10262952.904825,2402238.405518,0.5104497969928103
1.0,ip,4,22,10262952.904825,2402288.405518,0.5941595601015459
1.0,ip,5,23,10262902.904825,2402338.405518,0.6541619890778292
1.0,ip,6,24,10263502.904825,2402588.405518,0.09683735418691895
1.0,ip,7,33,10263252.904825,2402838.405518,0.09896691121242701
1.0,ip,8,34,10263102.904825,2402888.405518,0.08867348871865259
1.0,ip,9,35,10263152.904825,2402888.405518,0.09646016841581428
